Date,Time,Count,Avg Speed [km/h],PH,PH Bool
19/07/2023,02:00 - 03:00,28,59,#N/A,0
19/07/2023,03:00 - 04:00,40,63,#N/A,0
19/07/2023,04:00 - 05:00,66,63,#N/A,0
19/07/2023,05:00 - 06:00,131,61,#N/A,0
19/07/2023,06:00 - 07:00,235,68,#N/A,0
19/07/2023,07:00 - 08:00,321,67,#N/A,0
19/07/2023,08:00 - 09:00,461,61,#N/A,0
19/07/2023,09:00 - 10:00,501,62,#N/A,0
19/07/2023,10:00 - 11:00,495,62,#N/A,0
19/07/2023,11:00 - 12:00,447,60,#N/A,0
19/07/2023,12:00 - 13:00,405,63,#N/A,0
19/07/2023,13:00 - 14:00,401,62,#N/A,0
19/07/2023,14:00 - 15:00,422,63,#N/A,0
19/07/2023,15:00 - 16:00,437,62,#N/A,0
19/07/2023,16:00 - 17:00,501,63,#N/A,0
19/07/2023,17:00 - 18:00,528,63,#N/A,0
19/07/2023,18:00 - 19:00,544,63,#N/A,0
19/07/2023,19:00 - 20:00,474,65,#N/A,0
19/07/2023,20:00 - 21:00,368,62,#N/A,0
19/07/2023,21:00 - 22:00,211,59,#N/A,0
19/07/2023,22:00 - 23:00,147,60,#N/A,0
19/07/2023,23:00 - 24:00,117,64,#N/A,0
20/07/2023,00:00 - 01:00,73,61,#N/A,0
20/07/2023,01:00 - 02:00,44,64,#N/A,0
20/07/2023,02:00 - 03:00,33,60,#N/A,0
20/07/2023,03:00 - 04:00,26,62,#N/A,0
20/07/2023,04:00 - 05:00,67,62,#N/A,0
20/07/2023,05:00 - 06:00,156,62,#N/A,0
20/07/2023,06:00 - 07:00,260,67,#N/A,0
20/07/2023,07:00 - 08:00,376,66,#N/A,0
20/07/2023,08:00 - 09:00,485,61,#N/A,0
20/07/2023,09:00 - 10:00,572,61,#N/A,0
20/07/2023,10:00 - 11:00,580,59,#N/A,0
20/07/2023,11:00 - 12:00,562,63,#N/A,0
20/07/2023,12:00 - 13:00,458,63,#N/A,0
20/07/2023,13:00 - 14:00,498,63,#N/A,0
20/07/2023,14:00 - 15:00,392,63,#N/A,0
20/07/2023,15:00 - 16:00,423,61,#N/A,0
20/07/2023,16:00 - 17:00,428,62,#N/A,0
20/07/2023,17:00 - 18:00,425,61,#N/A,0
20/07/2023,18:00 - 19:00,432,63,#N/A,0
20/07/2023,19:00 - 20:00,453,64,#N/A,0
20/07/2023,20:00 - 21:00,304,62,#N/A,0
20/07/2023,21:00 - 22:00,233,59,#N/A,0
20/07/2023,22:00 - 23:00,157,63,#N/A,0
20/07/2023,23:00 - 24:00,135,63,#N/A,0
21/07/2023,00:00 - 01:00,78,63,#N/A,0
21/07/2023,01:00 - 02:00,25,60,#N/A,0
21/07/2023,02:00 - 03:00,23,61,#N/A,0
21/07/2023,03:00 - 04:00,44,62,#N/A,0
21/07/2023,04:00 - 05:00,60,63,#N/A,0
21/07/2023,05:00 - 06:00,138,65,#N/A,0
21/07/2023,06:00 - 07:00,267,65,#N/A,0
21/07/2023,07:00 - 08:00,395,66,#N/A,0
21/07/2023,08:00 - 09:00,471,64,#N/A,0
21/07/2023,09:00 - 10:00,509,63,#N/A,0
21/07/2023,10:00 - 11:00,431,56,#N/A,0
21/07/2023,11:00 - 12:00,649,58,#N/A,0
