DateTime,vehicle_count_per_hour,average_speed_per_hour,PH Bool,Day,Time
19/08/2023 01:00,87,73,0,19/08/2023,01:00:00
19/08/2023 02:00,55,82,0,19/08/2023,02:00:00
19/08/2023 03:00,48,75,0,19/08/2023,03:00:00
19/08/2023 04:00,52,78,0,19/08/2023,04:00:00
19/08/2023 05:00,115,78,0,19/08/2023,05:00:00
19/08/2023 06:00,304,80,0,19/08/2023,06:00:00
19/08/2023 07:00,493,81,0,19/08/2023,07:00:00
19/08/2023 08:00,837,73,0,19/08/2023,08:00:00
19/08/2023 09:00,1022,66,0,19/08/2023,09:00:00
19/08/2023 10:00,1108,66,0,19/08/2023,10:00:00
19/08/2023 11:00,1020,64,0,19/08/2023,11:00:00
19/08/2023 12:00,835,71,0,19/08/2023,12:00:00
19/08/2023 13:00,765,74,0,19/08/2023,13:00:00
19/08/2023 14:00,704,73,0,19/08/2023,14:00:00
19/08/2023 15:00,658,76,0,19/08/2023,15:00:00
19/08/2023 16:00,698,75,0,19/08/2023,16:00:00
19/08/2023 17:00,656,73,0,19/08/2023,17:00:00
19/08/2023 18:00,634,73,0,19/08/2023,18:00:00
19/08/2023 19:00,560,74,0,19/08/2023,19:00:00
19/08/2023 20:00,449,73,0,19/08/2023,20:00:00
19/08/2023 21:00,262,76,0,19/08/2023,21:00:00
19/08/2023 22:00,251,74,0,19/08/2023,22:00:00
19/08/2023 23:00,218,74,0,19/08/2023,23:00:00
20/08/2023 00:00,152,78,0,20/08/2023,00:00:00
